old_url,old_path,status,new_url,match_type,notes
https://ideas-block.com/exhibition-language-roberto-becerra-liucija-dervinyte/,/exhibition-language-roberto-becerra-liucija-dervinyte/,auto,http://localhost:8000/blog/exhibition-language-roberto-becerra-liucija-dervinyte/,auto,BlogPostPage pk=49
https://ideas-block.com/drawing-workshops/,/drawing-workshops/,auto,http://localhost:8000/blog/drawing-workshops/,auto,BlogPostPage pk=41
https://ideas-block.com/bangos-sound-meeting/,/bangos-sound-meeting/,auto,http://localhost:8000/blog/bangos-sound-meeting/,auto,BlogPostPage pk=47
https://ideas-block.com/movie-night-welt-draht-part-1/,/movie-night-welt-draht-part-1/,auto,http://localhost:8000/blog/movie-night-welt-draht-part-1/,auto,BlogPostPage pk=51
https://ideas-block.com/blank-kanvas-vilnius/,/blank-kanvas-vilnius/,auto,http://localhost:8000/blog/blank-kanvas-vilnius/,auto,BlogPostPage pk=52
https://ideas-block.com/vinyl-deranged/,/vinyl-deranged/,auto,http://localhost:8000/blog/vinyl-deranged/,auto,BlogPostPage pk=53
https://ideas-block.com/east-coast-index-photography-exhibition-vykintas-bliumkys/,/east-coast-index-photography-exhibition-vykintas-bliumkys/,auto,http://localhost:8000/blog/east-coast-index-photography-exhibition-vykintas-bliumkys/,auto,BlogPostPage pk=54
https://ideas-block.com/sunday-jam-ideas-block-lt/,/sunday-jam-ideas-block-lt/,auto,http://localhost:8000/blog/sunday-jam-ideas-block-lt/,auto,BlogPostPage pk=55
https://ideas-block.com/sunday-drawing-workshops-paul-takahashi/,/sunday-drawing-workshops-paul-takahashi/,auto,http://localhost:8000/blog/sunday-drawing-workshops-paul-takahashi/,auto,BlogPostPage pk=56
https://ideas-block.com/notebook-workshop-liucija-textiles-2/,/notebook-workshop-liucija-textiles-2/,auto,http://localhost:8000/blog/notebook-workshop-liucija-textiles-2/,auto,BlogPostPage pk=58
https://ideas-block.com/workshops-creative-experiments-kids-youth/,/workshops-creative-experiments-kids-youth/,auto,http://localhost:8000/blog/workshops-creative-experiments-kids-youth/,auto,BlogPostPage pk=73
https://ideas-block.com/textiles-surface-design/,/textiles-surface-design/,auto,http://localhost:8000/blog/textiles-surface-design/,auto,BlogPostPage pk=57
https://ideas-block.com/movie-night-culture-high-420-7-pm/,/movie-night-culture-high-420-7-pm/,auto,http://localhost:8000/blog/movie-night-culture-high-420-7-pm/,auto,BlogPostPage pk=71
https://ideas-block.com/vinyl-deranged-2/,/vinyl-deranged-2/,auto,http://localhost:8000/blog/vinyl-deranged-2/,auto,BlogPostPage pk=76
https://ideas-block.com/shibori-textiles-dyeing-workshop/,/shibori-textiles-dyeing-workshop/,auto,http://localhost:8000/blog/shibori-textiles-dyeing-workshop/,auto,BlogPostPage pk=78
https://ideas-block.com/adobe-lightroom-photography-workshop-martin-merenyi/,/adobe-lightroom-photography-workshop-martin-merenyi/,auto,http://localhost:8000/blog/adobe-lightroom-photography-workshop-martin-merenyi/,auto,BlogPostPage pk=79
https://ideas-block.com/sutartines-singing-circle-6th-may-19-00/,/sutartines-singing-circle-6th-may-19-00/,auto,http://localhost:8000/blog/sutartines-singing-circle-6th-may-19-00/,auto,BlogPostPage pk=72
https://ideas-block.com/open-call-summer-artist-residency-deadline-june-1st/,/open-call-summer-artist-residency-deadline-june-1st/,auto,http://localhost:8000/blog/open-call-summer-artist-residency-deadline-june-1st/,auto,BlogPostPage pk=80
